Iteration,0.1000,0.2000,0.3000,0.4000,0.5000,0.6000,0.7000,0.8000,0.9000,0.9100,0.9200,0.9300,0.9400,0.9500,0.9600,0.9700,0.9800,0.9900
1,298,111,84,50,56,130,264,455,506,446,411,414,446,460,508,456,499,486
2,183,108,71,62,48,109,317,398,465,459,468,497,458,500,557,443,492,459
3,243,131,59,62,51,99,258,470,432,453,432,453,510,451,457,454,482,486
4,188,122,82,57,54,110,255,314,500,427,398,488,453,504,441,443,508,455
5,213,120,80,51,59,124,370,442,439,438,470,495,462,483,493,521,478,484
6,206,132,75,47,63,85,230,441,560,422,447,428,470,465,475,479,419,440
7,209,91,97,67,47,83,331,453,471,370,466,448,426,473,449,487,445,486
8,160,158,77,52,50,168,246,352,469,400,429,417,463,531,424,452,472,476
9,195,99,70,77,58,100,318,503,486,435,478,443,438,497,424,471,439,485
10,222,115,79,45,51,84,314,489,441,377,468,444,463,513,453,469,479,426
