Iteration,0.1000,0.2000,0.3000,0.4000,0.5000,0.6000,0.7000,0.8000,0.9000,0.9100,0.9200,0.9300,0.9400,0.9500,0.9600,0.9700,0.9800,0.9900
1,157,65,52,30,19,18,7,2,3,2,2,2,2,1,1,0,1,0
2,125,85,53,28,19,7,9,7,4,1,1,4,1,3,2,0,0,0
3,137,73,37,25,16,11,8,1,3,2,6,0,1,0,1,1,0,0
4,116,83,43,26,15,16,9,9,5,2,0,1,0,3,0,1,0,0
5,156,67,49,23,15,13,5,4,6,1,3,2,0,1,0,0,0,0
6,133,85,42,23,20,7,14,5,1,2,2,2,2,0,0,0,1,0
7,174,68,29,35,34,9,7,5,2,3,2,0,2,0,0,1,0,0
8,154,67,50,27,15,14,8,6,2,1,1,1,3,1,0,1,1,0
9,177,57,42,28,12,9,10,3,3,0,0,3,2,1,0,3,1,0
10,164,85,48,24,19,21,3,7,0,1,4,1,2,0,2,1,0,0
